6IN SO	18	0.25895	90	132
	22	0.28837	96	146
	27	0.35567	98	181
	30	0.36976	97	188
	35	0.37751	98	192
	40	0.39354	96	200
	65	0.61656	98	313
				
1FT SO	18	0.51791	90	263
	22	0.59366	96	302
	27	0.78743	98	400
	30	0.84610	97	430
	35	0.86142	98	438
	40	0.88460	96	449
	65	1.28244	98	651
				
1FT HO	18	1.03582	90	526
	22	1.18732	96	603
	27	1.57628	98	801
	30	1.69219	97	859
	35	1.72284	98	875
	40	1.76921	96	899
	65	2.46624	98	1253
				
4FT SO	18	2.07164	90	1052
	22	2.39049	96	1214
	27	3.13388	98	1592
	30	3.20258	97	1627
	35	3.33118	98	1692
	40	3.44392	96	1749
	65	4.93247	98	2505
				
4FT HO	18	4.14328	90	2104
	22	4.78097	96	2428
	27	6.26776	98	3183
	30	6.40517	97	3253
	35	6.66236	98	3384
	40	6.89665	96	3503
	65	9.86494	98	5010
				
8FT SO	18	4.14328	90	2104
	22	4.54140	96	2307
	27	5.95420	98	
	30	6.08456	97	
	35	6.32942	98	
	40	6.54433	96	
	65	9.86494	98	
				
8FT HO	18	8.28655	90	
	22	9.08280	96	
	27	11.90840	98	
	30	12.16911	97	
	35	12.65884	98	
	40	13.08867	96	
	65	19.72989	98	
